name,nobluray,time
"宁静的热情  蓝光原盘下载+高清MKV版/爱美丽的今生(港) / Emily Dickinson, a Quiet Passion 2016 A Quiet Passion 40.0G",电影,02-22
记忆之夜 蓝光原盘下载+高清MKV版/Forgotten 2017 기억의 밤 41.6G,电影,02-22
风吹麦浪 WEB-DL版下载/吹动大麦的风(台) / 风吹稻浪 2006 The Wind That Shakes the Barley 9.2G,蓝光高清,02-21
[顶级预告]奇异博士2：疯狂多元宇宙/ 斯特兰奇博士2 / 奇异博士2：失控多重宇宙(港/台) / 奇异博士2: 失控多元宇宙(港) / Doctor Strange 2 / Doctor Strange: in the Multiverse of Madness 2022-05-06 美国上映,顶级预告,02-20
西班牙女佣 蓝光原盘下载+高清MKV版/真情快译通(台) / 拉丁英语 / 欢喜冤家 / 求恋家庭 2004 Spanglish 23.3G,电影,02-20
伴你高飞 蓝光原盘下载+高清MKV版/返家十万里 / 飞向故乡 / 回南 1996 Fly Away Home 22.4G,电影,06-01
纳瓦尔尼 蓝光高清MKV版/逆权斗士纳瓦尔尼 2022 Navalny 5.9G,蓝光高清,05-31
[预告片]碟中谍7：致命清算（上）/ 不可能的任务：致命清算 第一章(台) / 职业特工队：死亡清算上集(港) / Mission: Impossible – Dead Reckoning Part One -2023-07-14 美国上映,电影,05-27
替身演员 4K蓝光高清MKV版/替身演员 美国版 / 替身 / 幕前情人 2022 The Valet 14.3G,蓝光高清,05-25
奇奇与蒂蒂：救援突击队 WEB-DL版下载/救难小福星(台) 2022 Chip 'n' Dale: Rescue Rangers 11.6G,蓝光高清,05-23
坏蛋联盟 蓝光原盘下载+高清MKV版/大坏蛋 / 坏家伙 / Bad Guys 2022 The Bad Guys 40.8G,电影,05-23
新蝙蝠侠 4K蓝光原盘下载+高清MKV版/蝙蝠侠(港/台) / 重启版蝙蝠侠 2022 The Batman90.7G,4K,05-21
瞬息全宇宙 WEB-DL版下载/妈的多重宇宙(台) / 奇异女侠玩救宇宙(港) / 天马行空(新加坡) / 瞬息各处所有 / 全部世界同时一切 2022 Everything Everywhere All at Once 6.4G,蓝光高清,05-19
好好拍电影 蓝光高清MKV版/Keep Rolling 2020 好好拍電影 5.3G,蓝光高清,05-15
北欧人 蓝光高清MKV版/北方人(台) 2022 The Northman 24.3G,蓝光高清,05-13
甘古拜·卡蒂娅瓦迪 蓝光高清MKV版/甘古拜·卡蒂亚瓦迪 2022 Gangubai Kathiawadi 4.5G,蓝光高清,05-12
跳出我天地 蓝光原盘下载+高清MKV版/舞动人生(港/台) / 芭蕾之梦 / 比利·艾略特 / 穷人的孩子爱芭蕾 2000 Billy Elliot 27.9G,电影,05-11
雅穆克围城日记 WEB-DL版下载/Our Little Palestine 2021 Little Palestine (Diary of a Siege) 3.3G,蓝光高清,05-09
火之夜 WEB-DL版下载/Night of Fire / Prayers for the Stolen / 被偷走的女孩(台) 2021 Noche de fuego 6.8G,蓝光高清,05-06
音魂掠影 蓝光高清MKV版/50年一瞬间的魔幻时刻 / The Glance of Music / Lo sguardo della musica / 50年一瞬的魔幻时刻 / Ennio 2021 Ennio: The Maestro 7.7G,蓝光高清,05-05
你将不再孤单 WEB-DL版下载 2022 You Won't Be Alone 19.1G,蓝光高清,05-03
安妮+ 蓝光高清MKV版/Anne+: The Film 2021 Anne+ 4.9G,蓝光高清,05-03
再会 WEB-DL版下载 2021 See You Then 3.6G,蓝光高清,05-01
北极熊 WEB-DL版下载 2022 Polar Bear 13.6G,蓝光高清,04-27
探险家：最后的特普伊山 WEB-DL版下载/探险家：攀登平顶山(台) 2022 Explorer: The Last Tepui 6.4G,蓝光高清,04-27
布莱恩·约翰逊：漫长的承诺之路 蓝光原盘下载+高清MKV版 2021 Brian Wilson: Long Promised Road 29.1G,电影,04-23
"奥林匹亚街区 蓝光高清MKV版/巴黎13区 / Paris, 13th District / 慾巴黎十三區 2021 Les Olympiades 7.7G",蓝光高清,04-23
逃亡 蓝光高清MKV版/逃不出的记忆 / 无处安心(港) / Flee 2021 Flugt 6.3G,蓝光高清,04-22
活在当下 WEB-DL版下载/Carpe Diem / Zero Fucks Given / 空姐没有昨天(台) 2021 Rien à foutre 6.9G,蓝光高清,04-13
黑客帝国：矩阵重启 4K高清MKV版/黑客帝国4：矩阵重生 / 骇客帝国4 / 骇客任务：复活(台) / 22世纪杀人网络：复活次元(港) / 骇客任务4 / 黑客帝国：复兴 2021 The Matrix Resurrections 19.3G,4K,12-23
天鹅挽歌 4K蓝光高清MKV版/天鹅之歌 / 最后绝唱 2021 Swan Song 19.3G,4K,12-22
泽西男孩 蓝光原盘下载+高清MKV版/纽泽西男孩 2014 Jersey Boys 26.6G,电影,12-20
女教皇 蓝光原盘下载+高清MKV版/圣袍天下：惊世女教皇(台) / 女教皇传(港) / Pope Joan 2009 Die Päpstin 24.3G,电影,12-19
江湖浪子 蓝光原盘下载+高清MKV版/Robert Rossen's The Hustler 1961 The Hustler 41.3G,电影,12-18
